order_id,product_id,name,sku,qty,price,total,image,partial
31947,28047,"Металеві краби для волосся. ""ZAYA"" 6 см",,1,"143,10",143.10,https://cdn.gomw.co/d/product/lkse/dc37/lk14/2025_12_11_13_45_img_4299.JPG,0
31946,27004,Резинки для волосся. 4 см.,,1,"112,89",112.89,https://cdn.gomw.co/d/product/kd37/uh37/94zq/dsc05243.JPG,0
31946,9544,Заколка Тик-так. 8 см.,,1,"23,85",23.85,https://cdn.gomw.co/b/product/sdzq/kd14/azkd/dsc03183.JPG,0
31946,25779,Заколка Тік-так. 6 см.,,1,"23,85",23.85,https://cdn.gomw.co/d/product/2485/dcaz/85az/img_0551.JPG,0
31946,20281,Краби для волосся. Матові 9 см.,,1,"270,30",270.30,https://cdn.gomw.co/b/product/21uh/85dc/lkls/dsc05745.JPG,0
31946,26975,Резинки для волосся. Barbi. Велика чорна.,,2,"59,89",119.78,https://cdn.gomw.co/d/product/kd37/54gf/dc85/dsc05174.JPG,0
31939,26528,Шпильки для волосся 5 см.,,5,"24,38",121.90,https://cdn.gomw.co/d/product/9454/azdc/21kd/dsc04045.JPG,0
31939,478,Шпильки для волосся. 6см.,,5,"26,50",132.50,https://cdn.gomw.co/b/product/2454/sd21/uhdc/dsc09457.JPG,0
31939,577,Валик для зачіски 7 см.,,1,"158,47",158.47,https://cdn.gomw.co/b/product/1424/54se/5437/dsc09732.JPG,0
31939,14925,Валик для зачіски 6 см.,,1,"101,23",101.23,https://cdn.gomw.co/b/product/sd94/94kd/gfzq/dsc04776.JPG,0
31939,28228,Невидимки для волосся. 6 см.,,1,"43,46",43.46,https://cdn.gomw.co/d/product/uhls/azaz/85lk/dsc07605.JPG,0
31938,758,Резинки для волосся Barbi.,,1,"34,98",34.98,https://cdn.gomw.co/b/product/kdkd/uhkd/3737/dsc00187.JPG,0
31938,26770,Гребінець для волосся в коробочці. Глянець,,1,"63,07",63.07,https://cdn.gomw.co/d/product/zqgf/37kd/seuh/dsc04697.JPG,0
31938,27329,Гребінець для волосся в коробочці. Глянець,,1,"63,07",63.07,https://cdn.gomw.co/d/product/lkkd/lsls/2154/dsc06083.JPG,0
31938,27328,Гребінець для волосся в коробочці. Глянець,,1,"63,07",63.07,https://cdn.gomw.co/d/product/sesd/lsaz/85dc/dsc06082.JPG,0
31938,27554,Гребінець для волосся в коробочці. Глянець,,1,"63,07",63.07,https://cdn.gomw.co/d/product/5421/24ls/ls85/dsc06576.JPG,0
31937,14243,Краби для волосся 7 см.,,1,"212,00",212.00,https://cdn.gomw.co/b/product/ls54/az14/kdzq/dsc04565.JPG,0
31937,25155,Силіконові резинки для волосся.,,1,"80,56",80.56,https://cdn.gomw.co/d/product/85ls/8521/54uh/dsc09913.JPG,0
31937,26612,Резинки для волосся. 2 см.,,1,"15,37",15.37,https://cdn.gomw.co/d/product/uh85/dcuh/uh54/dsc04263.JPG,0
31937,26560,Резинки для волосся. № 30,,5,"15,37",76.85,https://cdn.gomw.co/d/product/lk54/2437/9437/dsc04130.JPG,0
31937,4713,Резинки Безшовні Робок. 3.5 см.,,1,"49,29",49.29,https://cdn.gomw.co/b/product/3794/azls/21kd/dsc02071.JPG,0
31936,28120,Резинки для волосся велюрова,,1,"162,18",162.18,https://cdn.gomw.co/d/product/2494/zqdc/dcaz/img_5286.JPG,0
31936,28121,Резинки для волосся велюрова з камінням,,2,"124,55",249.10,https://cdn.gomw.co/d/product/54zq/zquh/gfuh/img_5290.JPG,0
31936,28136,Бантики для волосся. вишиванка,,1,"161,65",161.65,https://cdn.gomw.co/d/product/5414/85se/azse/2026_02_25_17_06_img_5320.JPG,0
31936,28176,Краби для волосся. Прозорі 10см.,,1,"336,02",336.02,https://cdn.gomw.co/d/product/8585/az85/21se/2026_03_16_12_12_img_5525.JPG,0
31936,28231,Святкова гілочка для волосся. 33 см.,,2,"92,75",185.50,https://cdn.gomw.co/d/product/uh14/zq14/8537/dsc07611.JPG,0
31935,27082,Краби для волосся. Матові 2.5 см.,,1,"90,63",90.63,https://cdn.gomw.co/d/product/sd94/lkgf/seuh/dsc05461.JPG,0
31935,28231,Святкова гілочка для волосся. 33 см.,,1,"92,75",92.75,https://cdn.gomw.co/d/product/uh14/zq14/8537/dsc07611.JPG,0
31935,27825,Краби для волосся 3.5 см.,,1,"84,27",84.27,https://cdn.gomw.co/d/product/37sd/zqkd/segf/dsc07208.JPG,0
31935,28168,Бантики на автоматі Рожевий та Беж,,2,"337,61",675.22,https://cdn.gomw.co/d/product/8594/37lk/kdsd/2026_03_13_17_06_img_5488.JPG,0
31935,28208,Бантики на резинці. 9 см.,,1,"323,83",323.83,https://cdn.gomw.co/d/product/ls14/sdsd/24sd/dsc07554.JPG,0
31934,25155,Силіконові резинки для волосся.,,1,"80,56",80.56,https://cdn.gomw.co/d/product/85ls/8521/54uh/dsc09913.JPG,0
31934,26597,Гілочка весільна.,,1,"132,50",132.50,https://cdn.gomw.co/d/product/seaz/9485/85dc/dsc04211.JPG,0
31934,27091,Гілочка весільна. 26 см.,,1,"166,95",166.95,https://cdn.gomw.co/d/product/37gf/lkaz/gf37/dsc05479.JPG,0
31934,27818,Гілочка весільна. 29 см.,,1,"81,09",81.09,https://cdn.gomw.co/d/product/sese/94se/dc94/dsc07196.JPG,0
31934,27819,Гілочка весільна. 29 см.,,1,"124,02",124.02,https://cdn.gomw.co/d/product/1421/9414/85az/dsc07197.JPG,0
31933,476,Шпильки для волосся. 8 см.,,2,"35,51",71.02,https://cdn.gomw.co/b/product/8594/54se/ls21/dsc09460.JPG,0
31933,4217,"Щётка массажная для волос ""DAGG"" 8585",,3,"49,29",147.87,https://cdn.gomw.co/b/product/dcaz/azlk/24lk/dsc01459.JPG,0
31933,4219,Щітка масажна DAGG 8581N,,3,"51,94",155.82,https://cdn.gomw.co/b/product/24dc/kd24/se14/dsc01468.JPG,0
31933,4291,"Роскладна масажна щітка з деркалом""DAGG"" 8592А",,5,"39,75",198.75,https://cdn.gomw.co/b/product/85se/21az/85uh/dsc01502.JPG,0
31933,4224,"Щітка масажна для волосся, лодочка ""DAGG"" 5035",,5,"67,84",339.20,https://cdn.gomw.co/b/product/dcdc/lkkd/54dc/dsc01480.JPG,0
31932,28183,"Резинки для волосся, в коробочці, 5см.",,1,"84,80",84.80,https://cdn.gomw.co/d/product/lk94/2114/2421/2026_03_19_13_18_img_5549.JPG,0
31932,28219,"Резинки для волосся, в коробочці.",,1,"84,80",84.80,https://cdn.gomw.co/d/product/se21/sdgf/8514/dsc07581.JPG,0
31932,24667,Обруч Спіралька.,,1,"78,44",78.44,https://cdn.gomw.co/d/product/uhse/dcuh/sekd/dsc08641.JPG,0
31932,27977,"Обруч із перлинками. 2,5см.",,1,"142,57",142.57,https://cdn.gomw.co/d/product/8554/sdkd/1421/img_3731.JPG,0
31932,28039,Краби для волосся. Французький пластик. 6см.,,1,"455,80",455.80,https://cdn.gomw.co/d/product/21ls/8537/94lk/2025_12_01_13_00_img_4158.JPG,0
31931,27001,Резинки для волосся.,,1,"136,21",136.21,https://cdn.gomw.co/d/product/21se/lk37/54zq/dsc05236.JPG,0
31931,26614,"Резинки для волосся, в коробочці. 6 см.",,1,"102,82",102.82,https://cdn.gomw.co/d/product/lsls/kd94/ls85/dsc04268.JPG,0
31931,4874,Резинки тонкі. BA-1929,,1,"130,38",130.38,https://cdn.gomw.co/b/product/2454/uhse/24lk/dsc02203.JPG,0
31931,24223,Резинки для волосся. Французький пластик.,,1,"159,00",159.00,https://cdn.gomw.co/d/product/se94/gfse/24az/dsc06684.JPG,0
31931,27004,Резинки для волосся. 4 см.,,1,"112,89",112.89,https://cdn.gomw.co/d/product/kd37/uh37/94zq/dsc05243.JPG,0
31930,27575,Краби для волосся. Матові 6 см.,,1,"196,63",196.63,https://cdn.gomw.co/d/product/37dc/1485/zq14/dsc06624.JPG,0
31930,28140,Краби для волосся метелик. Французький пластик. 4.5 см.,,2,"230,55",461.10,https://cdn.gomw.co/d/product/dcgf/uhlk/zqsd/2026_02_28_11_20_img_5352.JPG,0
31930,28143,Краби для волосся метелик. Французький пластик. 4.5см.,,1,"303,69",303.69,https://cdn.gomw.co/d/product/54dc/14gf/lk24/2026_02_28_11_26_img_5359.JPG,0
31930,28223,Краби для волосся. Французький пластик. 6 см.,,2,"509,86",1019.72,https://cdn.gomw.co/d/product/gf85/zqsd/az21/dsc07592.JPG,0
31930,28233,Краби для волосся. Французький пластик-хамелеон. 6.5 см.,,2,"454,21",908.42,https://cdn.gomw.co/d/product/24kd/gf94/lk14/dsc07618.JPG,0
31929,27861,Бантики на затиску. 10 см.,,2,"294,15",588.30,https://cdn.gomw.co/d/product/se37/sdzq/kdsd/dsc07278.JPG,0
31929,26908,Краби для волосся. Матові 2.5 см.,,2,"143,10",286.20,https://cdn.gomw.co/d/product/lsdc/8524/dc24/dsc05029.JPG,0
31929,25523,Гребінець для вичісування,,1,"53,00",53.00,https://cdn.gomw.co/d/product/gf37/az85/uh54/dsc01077.JPG,0
31929,25640,Затискач перукарський кольоровий,,3,"84,27",252.81,https://cdn.gomw.co/d/product/dczq/uhgf/sese/dsc01435.JPG,0
31929,28098,Резинки для волосся. Об'ємні. 10 см,,2,"207,76",415.52,https://cdn.gomw.co/d/product/1454/2421/94kd/2026_02_12_15_13_img_5190.JPG,0
31928,28057,"Краби для волосся. Пластик. 5,5см.",,1,"268,18",268.18,https://cdn.gomw.co/d/product/54lk/24se/lkkd/2025_12_11_12_50_img_4239.JPG,0
31928,28238,Краби для волосся. Французький пластик. 7 см.,,1,"504,56",504.56,https://cdn.gomw.co/d/product/2485/1494/uh21/dsc07632.JPG,0
31928,15706,Резинки для волос.,,1,"92,75",92.75,https://cdn.gomw.co/b/product/9424/gf85/dcsd/dsc04876.JPG,0
31928,10793,Резинки Безшовні. №50 Чорні. 3.5 см..,,1,"49,29",49.29,https://cdn.gomw.co/b/product/se37/54se/az24/dsc03438.JPG,0
31928,26605,Резинки для волосся.,,1,"58,30",58.30,https://cdn.gomw.co/d/product/zq24/zq85/37se/dsc04230.JPG,0
31927,28257,Обручі для волосся. 2см.,,1,"108,12",108.12,https://cdn.gomw.co/d/product/dclk/lk14/lsgf/dsc07679.JPG,0
31927,27808,Краби для волосся. Французький пластик. 6 см.,,1,"528,94",528.94,https://cdn.gomw.co/d/product/kd37/24az/sesd/dsc07175.JPG,0
31927,26975,Резинки для волосся. Barbi. Велика чорна.,,1,"59,89",59.89,https://cdn.gomw.co/d/product/kd37/54gf/dc85/dsc05174.JPG,0
31927,26612,Резинки для волосся. 2 см.,,3,"15,37",46.11,https://cdn.gomw.co/d/product/uh85/dcuh/uh54/dsc04263.JPG,0
31927,26559,Резинки для волосся. № 30,,4,"15,37",61.48,https://cdn.gomw.co/d/product/37gf/lsdc/54az/dsc04129.JPG,0
31926,25523,Гребінець для вичісування,,2,"53,00",106.00,https://cdn.gomw.co/d/product/gf37/az85/uh54/dsc01077.JPG,0
31926,26992,Гребінець для волосся.,,4,"56,18",224.72,https://cdn.gomw.co/d/product/1424/21az/sekd/dsc05214.JPG,0
31926,27554,Гребінець для волосся в коробочці. Глянець,,10,"63,07",630.70,https://cdn.gomw.co/d/product/5421/24ls/ls85/dsc06576.JPG,0
