# ----------------------------------------
# Reports snapshot
# Account: kristallikcomua
# Property: kristallik.com.ua - GA4
# ----------------------------------------
#  
# Start date: 20251101
# End date: 20260309
Nth day,Active users
Дитячі затискачі для волосся.,46
Обручі для волосся з квітками оптом,46
Палички що світяться оптом.,46
Бісер оптом. - сторінка 2,45
Заколки для волосся оптом - сторінка 2,45
Новинки - сторінка 21,45
Усі товари - сторінка 11,44
Браслети на руку.,43
Біжутерія и аксесуари оптом. - сторінка 2,43
"Бісер дрібний, калібрований №12,по по 50грам.Оптом.",43
"Бісер дрібний, №12 по 450г.Китайський оптом.",43
Контакти - Кристалік,43
Брошка оптом,42
Бісер оптом. - сторінка 3,42
Кулони-Валентинки оптом.,41
Резинки для волосся оптом. - сторінка 3,41
Застібка на чубчик оптом,40
"Обручі, Метал-пластик-стрази оптом",40
Ланцюжки оптом.,39
Про нас - Кристалік,39
Сережки-Гвоздики оптом.,39
Резинки для волосся з камінням оптом.,37
Усі товари - сторінка 12,37
Дитячі крабики для волосся.,35
Обручі для волосся з вушками оптом,35
Дитячі пов'язки для волосся.,34
Обручі для волосся оптом.,34
Усі товари - сторінка 13,33
Біжутерія и аксесуари оптом. - сторінка 3,32
Усі товари - сторінка 18,32
Резинки для волосся оптом. - сторінка 4,31
Усі товари - сторінка 14,31
Усі товари - сторінка 16,31
Кулони Stainless Steel,30
Усі товари - сторінка 15,30
Усі товари - сторінка 17,29
Усі товари - сторінка 19,29
Усі товари - сторінка 23,29
Усі товари - сторінка 21,26
Дитячі обручі для волосся оптом.,25
Усі товари - сторінка 20,25
Усі товари - сторінка 22,24
Перламутровий-пластиковий краб-метелик для волосся,21
Усі товари - сторінка 24,21
Усі товари - сторінка 28,20
Заколка для волос Тік-так оптом - сторінка 2,19
Краби для волосся. Метал-пластик-стрази оптом. - сторінка 3,19
Обручі для волосся з бантом оптом,19
Усі товари - сторінка 26,19
Усі товари - сторінка 27,19
Бісер Матовий дрібний №12. 450 грам. Китайський оптом.,18
Усі товари - сторінка 25,18
Віяла оптом,16
"Корони, чарівні палички оптом.",14
"Гребінець для волосся в коробочці. T Teezer малиново-персикова 17,5см",13
"Рубка, фасована. Китай.2.5 мм.",13
Заколки для волосся оптом - сторінка 3,12
Обручі для волосся оптом. - сторінка 2,12
Перламутровий-пластиковий краб-метелик для волосся. Довжина: 4.5 см,10
Політика повернення - Кристалік,10
Канекалон-пасма штучного волосся оптом - сторінка 2,7
Бісер дрібний-фасований. №12. По 20 грам.,6
"Гребінець для волосся в коробочці. T Teezer малинова 17,5см",6
"Дитяча заколка Тік-так. 2,5 см",6
"Стеклярус, фасований. Китайский,6 мм.",6
Металева заколка-затискач для волосся зі стразами,5
Пластиковий краб квітка для волосся.,5
Угода користувача - Кристалік,5
Гребінець для волосся в коробочці. Глянець темно-блакитна,4
"Бісер великий,№ 6. Фасований по 20г.Китайський оптом.",3
Все товары,3
Новинки - сторінка 22,3
Усі товари - сторінка 29,3
Главная страница - Кристаллик,2
"Гребінець для волосся в коробочці. T Teezer жовто-блакитна 17,5см",2
Крабы для волос оптом.,2
"Маленький, пластиковий краб для волосся метелик",2
Ошибка 404,2
Аксессуары для волос оптом.,1
Все товары - страница 25,1
Гребінець для волосся в коробочці. Глянець лимонна,1
Дитячий набір для плетіння.,1
Кристаллик,1
Кулоны.,1

#  
# Start date: 20251101
# End date: 20260309
Event name,Event count
page_view,31110
user_engagement,29554
scroll,14363
session_start,5080
view_item,4564
first_visit,2635
add_to_cart,2410
form_start,632
form_submit,608
view_search_results,526
purchase,77

# What are your top performing key events?
# Start date: 20251101
# End date: 20260309
Event name,Key events
purchase,77

# Where does your average 120d value come from?
# Start date: 20251101
# End date: 20260309
First user primary channel group (Default Channel Group),Average 120d value


#  
# Start date: 20251101
# End date: 20260309
Item name,Items purchased


# How does activity on your platforms compare?
# Start date: 20251101
# End date: 20260309
Platform,Key events
web,77
